2014-12-15 31
2014-12-15 52
2014-12-17 54
2014-12-18 52
2014-12-18 55
2014-12-19 60
2014-12-21 60
2014-12-21 61
2014-12-23 64
2014-12-27 67
2014-12-29 69
2014-12-30 71
2014-12-30 76
2014-12-31 77
2015-01-05 77
2015-01-07 77
2015-01-07 82
2015-01-07 90
2015-01-08 83
2015-01-08 90
2015-01-09 83
2015-01-09 84
2015-01-09 85
2015-01-09 90
2015-01-10 80
2015-01-10 81
2015-01-10 82
2015-01-10 84
2015-01-10 85
2015-01-11 81
2015-01-11 82
2015-01-12 78
2015-01-12 80
2015-01-12 82
2015-01-13 78
2015-01-14 78
2015-01-14 80
2015-01-16 81
2015-01-19 81
2015-01-20 81
2015-01-21 82
2015-01-21 84
2015-01-23 84
2015-01-23 85
2015-01-23 86
2015-01-23 88
2015-01-23 89
2015-01-24 92
2015-01-25 95
2015-01-26 95
2015-01-26 98
2015-01-27 95
2015-01-27 98
2015-01-28 100
2015-01-28 95
2015-01-28 96
2015-01-28 98
2015-01-28 99
2015-01-29 100
2015-01-30 100
2015-01-30 101
2015-01-30 102
2015-01-30 103
2015-01-30 104
2015-01-30 105
2015-01-30 113
2015-01-31 113
2015-02-01 113
2015-02-01 114
2015-02-01 115
2015-02-02 114
2015-02-02 115
2015-02-02 116
2015-02-03 157
2015-02-04 157
2015-02-04 158
2015-02-04 159
2015-02-04 160
2015-02-04 161
2015-02-04 162
2015-02-05 162
2015-02-06 161
2015-02-06 162
2015-02-07 162
2015-02-08 154
2015-02-08 157
2015-02-08 162
2015-02-09 157
2015-02-09 158
2015-02-09 159
2015-02-09 160
2015-02-11 160
2015-02-11 194
2015-02-11 195
2015-02-11 196
2015-02-12 196
2015-02-13 194
2015-02-13 195
2015-02-13 197
2015-02-13 198
2015-02-14 198
2015-02-15 198
2015-02-16 191
2015-02-16 198
2015-02-16 199
2015-02-17 191
2015-02-17 192
2015-02-18 194
2015-02-18 195
2015-02-18 196
2015-02-19 196
2015-02-20 196
2015-02-20 197
2015-02-20 198
2015-02-20 199
2015-02-20 204
2015-02-20 205
2015-02-21 204
2015-02-22 204
2015-02-23 204
2015-02-24 204
2015-02-24 211
2015-02-24 215
2015-02-25 216
2015-02-27 216
2015-02-28 217
2015-03-02 217
2015-03-02 218
2015-03-02 219
2015-03-02 220
2015-03-03 215
2015-03-03 216
2015-03-03 222
2015-03-03 223
2015-03-03 228
